Job Level,Marital Status,Distance from Home,Monthly Income,Company Tenure,Age,Years at Company,Remote Work,Work-Life Balance,Education Level
1,1,0.836734693877551,0.4916528149165281,0.15999999999999998,0.43902439024390244,0.24000000000000002,0,0,3
0,2,0.5510204081632653,0.24116499241164993,0.2,0.4146341463414634,0.12000000000000001,0,2,0
2,0,0.13265306122448978,0.3148803931488039,0.592,0.7804878048780488,0.12000000000000001,0,1,0
0,2,0.42857142857142855,0.31068873310688727,0.752,0.9756097560975612,0.86,0,1,3
1,1,0.4693877551020408,0.24412806244128063,0.344,0.5121951219512195,0.45999999999999996,1,2,3
2,0,0.37755102040816324,0.49707306497073056,0.584,0.6585365853658538,0.58,0,1,0
1,1,0.01020408163265306,0.5401459854014597,0.368,0.09756097560975613,0.08,0,2,2
0,2,0.08163265306122448,0.7081737370817373,0.112,0.39024390243902446,0.27999999999999997,0,1,3
1,0,0.6530612244897959,0.7390330273903302,0.4,0.7317073170731709,0.78,0,2,0
0,0,0.3061224489795918,0.3406085134060851,0.352,0.902439024390244,0.3,0,3,0
1,1,0.2755102040816326,0.49996386499963863,0.44,0.34146341463414637,0.22,0,2,2
2,1,0.346938775510204,0.25525764255257644,0.712,0.1951219512195122,0.27999999999999997,1,2,1
2,1,0.2959183673469387,0.37175688371756876,0.46399999999999997,0.6585365853658538,0.039999999999999994,0,1,1
1,1,0.8877551020408162,0.5144178651441785,0.096,0.5853658536585367,0.039999999999999994,0,2,3
0,2,0.510204081632653,0.6665462166654621,0.536,0.4146341463414634,0.08,0,2,1
1,1,0.37755102040816324,0.8157837681578376,0.92,0.8292682926829269,0.86,0,1,2
0,2,0.5306122448979591,0.27823950278239495,0.528,0.5853658536585367,0.26,0,1,1
0,1,0.09183673469387754,0.5102984751029846,0.784,0.4634146341463415,0.54,0,1,1
1,1,0.42857142857142855,0.5591529955915299,0.632,0.9268292682926831,0.45999999999999996,0,0,1
2,1,0.22448979591836732,0.48008961480089607,0.496,0.07317073170731708,0.0,0,1,3
1,2,0.7755102040816326,0.3930042639300426,0.312,0.7073170731707319,0.2,0,1,0
1,2,0.8979591836734693,0.5848811158488111,0.33599999999999997,0.7073170731707319,0.68,0,0,2
2,2,0.061224489795918366,0.5046614150466141,0.712,0.7804878048780488,0.27999999999999997,0,2,3
0,2,0.7448979591836734,0.31560309315603086,0.424,0.5365853658536586,0.42,0,2,0
0,1,0.5510204081632653,0.5144901351449013,0.176,0.7804878048780488,0.36,0,1,0
1,2,0.8775510204081631,0.2389246223892462,0.46399999999999997,0.12195121951219517,0.06,0,0,3
1,1,0.6428571428571428,0.19765845197658452,0.536,0.6097560975609757,0.45999999999999996,0,3,1
1,0,0.8775510204081631,0.4250198742501987,0.128,0.17073170731707316,0.02,0,0,0
0,1,0.7959183673469387,0.1371684613716846,0.392,0.4634146341463415,0.38,1,0,0
1,2,0.7755102040816326,0.5121052251210522,0.2,0.39024390243902446,0.12000000000000001,0,2,4
0,1,0.7653061224489796,0.49569993495699927,0.376,0.43902439024390244,0.2,0,1,1
0,1,0.693877551020408,0.22338657223386568,0.36,0.7317073170731709,0.14,0,3,3
0,1,0.2551020408163265,0.3834646238346462,0.664,0.04878048780487804,0.12000000000000001,1,2,0
0,0,0.43877551020408156,0.36084411360844115,0.584,0.9512195121951221,0.45999999999999996,0,0,2
0,2,0.7755102040816326,0.516730505167305,0.736,0.6829268292682928,0.5,0,1,0
0,2,0.4591836734693877,0.4289947242899472,0.496,0.0,0.14,1,1,3
0,2,0.6836734693877551,0.3825251138252511,0.296,0.09756097560975613,0.0,0,3,3
0,2,0.7857142857142856,0.3294789332947893,0.544,0.1951219512195122,0.3,0,2,0
1,1,0.7857142857142856,0.5318349353183492,0.376,0.5365853658536586,0.44,0,2,1
2,2,0.020408163265306124,0.34248753342487526,0.656,0.024390243902439046,0.12000000000000001,1,2,1
2,2,0.8265306122448979,0.2844547228445472,0.288,0.0,0.08,0,2,4
1,1,0.4081632653061224,0.30526848305268484,0.24,0.26829268292682934,0.32,0,1,2
2,1,0.21428571428571425,0.1425164414251644,0.376,0.14634146341463422,0.06,0,1,3
1,2,0.39795918367346933,0.6016477560164775,0.416,0.14634146341463422,0.27999999999999997,0,2,0
1,2,0.030612244897959183,0.6042494760424947,0.24,0.5609756097560976,0.36,0,3,1
2,2,0.846938775510204,0.5198381151983811,0.288,0.0,0.16,0,2,2
2,2,0.9999999999999999,0.344727903447279,0.904,0.902439024390244,0.84,0,1,0
1,2,0.836734693877551,0.5931921659319216,0.736,0.34146341463414637,0.33999999999999997,0,1,3
0,1,0.09183673469387754,0.5571294355712942,0.424,0.7804878048780488,0.33999999999999997,0,1,3
1,1,0.6224489795918366,0.3638794536387945,0.68,0.2439024390243903,0.24000000000000002,0,1,0
1,1,0.5918367346938775,0.5520705355207053,0.4,0.0,0.02,0,2,3
0,1,0.346938775510204,0.13463901134639011,0.296,0.2926829268292683,0.02,0,3,0
0,1,0.346938775510204,0.3549902435499024,0.552,0.48780487804878053,0.18000000000000002,0,0,2
0,2,0.01020408163265306,0.47510298475102974,0.33599999999999997,0.6829268292682928,0.09999999999999999,0,2,2
0,1,0.38775510204081626,0.42039459420394587,0.368,0.21951219512195125,0.08,0,1,1
1,1,0.7142857142857142,0.51311700513117,0.184,1.0,0.039999999999999994,0,2,1
0,2,0.19387755102040813,0.46086579460865784,0.536,0.39024390243902446,0.36,0,1,0
1,2,0.18367346938775508,0.8240225482402254,0.624,0.7560975609756098,0.64,1,3,0
0,2,0.3061224489795918,0.17662788176627878,0.504,0.853658536585366,0.06,0,1,2
1,0,0.5,0.5820625858206258,0.648,0.1951219512195122,0.2,0,1,3
0,2,0.36734693877551017,0.43477632434776314,0.488,0.6585365853658538,0.16,1,2,1
1,0,0.9183673469387754,0.6076461660764616,0.27999999999999997,0.04878048780487804,0.2,1,0,4
1,1,0.8673469387755102,0.33302016333020157,0.408,0.8292682926829269,0.32,0,1,0
1,0,0.6836734693877551,0.1985256919852569,0.46399999999999997,0.6097560975609757,0.5,0,2,0
1,1,0.5306122448979591,0.3457396834573968,0.256,0.0,0.14,0,1,2
0,2,0.7244897959183673,0.3223964732239647,0.104,0.3170731707317073,0.0,0,2,0
2,1,0.6428571428571428,0.1978029919780299,0.552,0.09756097560975613,0.09999999999999999,0,2,0
2,2,0.5,0.26833851268338516,0.592,0.853658536585366,0.42,1,2,0
0,2,0.5,0.5325576353255763,0.416,0.09756097560975613,0.2,0,2,1
